iter	RMSE
160	1557.221321
161	1556.096579
162	1555.39261
163	1554.189898
164	1553.527046
165	1552.921921
166	1552.901269
167	1551.980874
168	1548.97756
169	1548.578287
170	1547.821137
171	1546.673019
172	1545.685479
173	1545.675739
174	1544.5296
175	1544.214872
176	1542.786111
177	1541.489935
178	1540.929076
179	1540.154377
180	1538.171662
181	1536.6775
182	1536.662969
183	1536.657355
184	1535.598085
185	1535.591679
186	1534.894455
187	1534.242455
188	1532.970591
189	1531.786785
190	1530.984257
191	1530.172997
192	1529.338569
193	1528.168546
194	1527.134514
195	1524.606579
196	1524.263232
197	1523.109381
198	1522.57354
199	1520.722647
200	1519.404298
201	1519.350246
202	1517.636228
203	1517.369345
204	1516.701394
205	1515.259359
206	1513.448972
207	1513.428901
208	1511.86692
209	1510.689866
210	1510.032154
211	1509.798508
212	1509.101044
213	1509.061928
214	1507.354014
215	1507.010299
216	1506.188267
217	1505.431901
218	1503.960605
219	1503.038156
220	1502.159242
221	1500.895672
222	1499.809686
223	1497.605306
224	1495.693293
225	1494.608528
226	1493.63478
227	1493.066138
228	1493.062657
229	1492.236274
230	1492.234586
231	1491.606622
232	1490.659908
233	1489.659316
234	1488.379154
235	1486.788546
236	1484.927556
237	1484.610366
238	1483.940553
239	1483.125624
240	1480.814743
241	1479.301085
242	1478.739354
243	1477.056575
244	1476.124789
245	1475.787988
246	1475.053965
247	1473.961257
248	1472.984448
249	1472.651006
250	1471.768152
251	1471.208207
252	1469.940401
253	1469.220213
254	1468.701745
255	1468.341346
256	1467.631197
257	1467.197151
258	1466.66663
259	1466.665964
260	1465.773674
261	1465.161826
262	1463.938646
263	1463.295299
264	1463.291456
265	1463.215675
266	1462.323345
267	1461.083097
268	1460.672564
269	1459.430132
270	1459.416106
271	1458.65473
272	1457.957784
273	1457.611391
274	1456.304377
275	1455.484104
276	1454.733512
277	1453.932729
278	1453.116174
279	1452.545253
280	1451.699948
281	1450.468543
282	1450.456901
283	1449.914137
284	1449.911782
285	1449.39127
286	1448.665575
287	1447.920562
288	1447.168713
289	1445.785837
290	1445.218203
291	1444.637544
292	1443.374978
293	1442.544189
294	1441.562544
295	1441.173308
296	1441.069978
297	1440.321877
298	1439.666182
299	1439.609293
300	1437.99358
301	1437.438584
302	1436.859483
303	1435.84363
304	1435.512141
305	1434.440874
306	1433.516732
307	1432.826658
308	1432.636005
309	1432.372485
310	1431.87043
311	1431.20272
312	1429.92254
313	1429.03515
314	1428.581476
315	1428.169051
316	1427.133161
317	1426.549177
318	1426.324192
319	1426.321387
320	1426.265673
321	1424.770849
322	1423.546248
323	1422.705458
324	1421.243922
325	1420.620997
326	1419.955374
327	1419.551678
328	1419.065394
329	1418.076294
330	1417.704522
331	1417.156307
332	1416.509862
333	1415.851905
334	1413.996635
335	1413.633608
336	1412.959395
337	1412.07194
338	1412.063534
339	1411.209527
340	1410.701169
341	1410.248566
342	1410.246778
343	1409.257192
344	1408.745605
345	1408.592701
346	1407.710982
347	1407.480073
348	1407.150105
349	1406.803935
350	1406.444533
351	1404.9853
352	1403.553801
353	1402.963494
354	1401.612289
355	1400.878913
356	1400.380562
357	1400.228588
358	1400.153363
359	1399.326518
360	1398.813648
361	1398.319993
362	1398.111943
363	1397.646886
364	1396.432739
365	1395.409144
366	1395.399312
367	1394.482143
368	1394.375536
369	1393.352138
370	1393.063291
371	1392.92408
372	1391.880673
373	1391.088569
374	1390.702529
375	1390.392245
376	1390.245932
377	1390.037695
378	1389.770192
379	1389.237277
380	1389.00871
381	1388.141284
382	1387.631556
383	1385.679419
384	1385.112382
385	1384.23831
386	1383.23026
387	1382.568337
388	1381.993433
389	1381.987968
390	1381.677524
391	1381.460063
392	1380.536158
393	1379.874147
394	1379.556354
395	1378.663026
396	1378.411021
397	1378.392111
398	1377.952742
399	1377.945437
400	1377.634006
401	1377.274294
402	1376.49497
403	1376.465677
404	1376.025797
405	1375.620072
406	1375.558489
407	1375.184892
408	1374.272378
409	1373.694844
410	1373.689913
411	1372.439391
412	1371.407772
413	1370.960421
414	1370.434217
415	1369.538872
416	1369.523103
417	1368.987509
418	1368.926096
419	1368.304115
420	1367.669811
421	1367.280745
422	1366.417711
423	1366.08916
424	1365.716552
425	1364.621914
426	1364.300111
427	1363.790485
428	1363.319023
429	1362.621256
430	1361.842681
431	1360.857719
432	1360.133854
433	1359.420812
434	1359.189117
435	1358.85352
436	1357.660338
437	1356.587141
438	1356.157192
439	1355.661121
440	1354.989154
441	1354.449827
442	1353.168787
443	1352.879605
444	1352.314532
445	1351.360937
446	1350.619793
447	1350.042001
448	1349.8391
449	1348.8179
450	1348.205606
451	1347.546299
452	1346.731664
453	1346.550487
454	1345.894085
455	1345.090976
456	1344.646132
457	1344.363154
458	1344.145904
459	1343.670527
460	1343.204709
461	1343.048761
462	1342.50587
463	1342.361962
464	1342.268009
465	1341.713721
466	1341.248605
467	1340.24358
468	1339.593661
469	1338.421598
470	1337.935372
471	1337.813977
472	1337.477687
473	1337.162516
474	1336.692262
475	1335.903649
476	1334.97842
477	1333.873472
478	1333.009483
479	1332.694013
480	1332.079391
481	1331.912433
482	1331.319229
483	1330.383833
484	1330.154627
485	1329.914736
486	1328.944296
487	1328.422395
488	1328.117316
489	1327.194954
490	1326.861703
491	1326.233538
492	1325.701839
493	1325.05585
494	1324.278945
495	1323.985808
496	1323.729385
497	1323.532305
498	1323.163922
499	1322.579458
